H	residue	C	H	O	N	S	P	N[15]	H[2]	C[13]	Se	Cl	Br	
R	A	3	5	1	1	0	0	0	0	0	0	0	0	
R	C	5	8	2	2	1	0	0	0	0	0	0	0	;Includes IA cap
R	D	4	5	3	1	0	0	0	0	0	0	0	0	
R	E	5	7	3	1	0	0	0	0	0	0	0	0	
R	F	9	9	1	1	0	0	0	0	0	0	0	0	
R	G	2	3	1	1	0	0	0	0	0	0	0	0	
R	H	6	7	1	3	0	0	0	0	0	0	0	0	
R	I	6	11	1	1	0	0	0	0	0	0	0	0	
R	K	6	12	1	2	0	0	0	0	0	0	0	0	
R	L	6	11	1	1	0	0	0	0	0	0	0	0	
R	M	5	9	1	1	1	0	0	0	0	0	0	0	
R	N	4	6	2	2	0	0	0	0	0	0	0	0	
R	P	5	7	1	1	0	0	0	0	0	0	0	0	
R	Q	5	8	2	2	0	0	0	0	0	0	0	0	
R	R	6	12	1	4	0	0	0	0	0	0	0	0	
R	S	3	5	2	1	0	0	0	0	0	0	0	0	
R	T	4	7	2	1	0	0	0	0	0	0	0	0	
R	V	5	9	1	1	0	0	0	0	0	0	0	0	
R	W	11	10	1	2	0	0	0	0	0	0	0	0	
R	Y	9	9	2	1	0	0	0	0	0	0	0	0	
R	U	5	8	2	2	0	0	0	0	0	1	0	0	
R	C_term	0	1	1	0	0	0	0	0	0	0	0	0	
R	N_term	0	1	0	0	0	0	0	0	0	0	0	0	
R	*	0	0	0	0	0	0	0	0	0	0	0	0	
